Code;Description
M88;Osteodystrophia deformans [Paget-Krankheit]
M880;Osteodystrophia deformans der Schaedelknochen
M888;Osteodystrophia deformans sonstiger Knochen
M8880;Osteodystrophia deformans sonstiger Knochen: Mehrere Lokalisationen
M8881;Osteodystrophia deformans sonstiger Knochen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8882;Osteodystrophia deformans sonstiger Knochen: Oberarm [Humerus, Ellenbogengelenk]
M8883;Osteodystrophia deformans sonstiger Knochen: Unterarm [Radius, Ulna, Handgelenk]
M8884;Osteodystrophia deformans sonstiger Knochen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8885;Osteodystrophia deformans sonstiger Knochen: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8886;Osteodystrophia deformans sonstiger Knochen: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8887;Osteodystrophia deformans sonstiger Knochen: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8888;Osteodystrophia deformans sonstiger Knochen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8889;Osteodystrophia deformans sonstiger Knochen: Nicht naeher bezeichnete Lokalisation
M889;Osteodystrophia deformans, nicht naeher bezeichnet
M8890;Osteodystrophia deformans, nicht naeher bezeichnet: Mehrere Lokalisationen
M8891;Osteodystrophia deformans, nicht naeher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8892;Osteodystrophia deformans, nicht naeher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]
M8893;Osteodystrophia deformans, nicht naeher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]
M8894;Osteodystrophia deformans, nicht naeher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8895;Osteodystrophia deformans, nicht naeher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8896;Osteodystrophia deformans, nicht naeher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8897;Osteodystrophia deformans, nicht naeher bezeichnet: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8898;Osteodystrophia deformans, nicht naeher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8899;Osteodystrophia deformans, nicht naeher bezeichnet: Nicht naeher bezeichnete Lokalisation
M89;Sonstige Knochenkrankheiten
M890;Neurodystrophie [Algodystrophie]
M8900;Neurodystrophie [Algodystrophie]: Mehrere Lokalisationen
M8901;Neurodystrophie [Algodystrophie]: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8902;Neurodystrophie [Algodystrophie]: Oberarm [Humerus, Ellenbogengelenk]
M8903;Neurodystrophie [Algodystrophie]: Unterarm [Radius, Ulna, Handgelenk]
M8904;Neurodystrophie [Algodystrophie]: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8905;Neurodystrophie [Algodystrophie]: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8906;Neurodystrophie [Algodystrophie]: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8907;Neurodystrophie [Algodystrophie]: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8908;Neurodystrophie [Algodystrophie]: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8909;Neurodystrophie [Algodystrophie]: Nicht naeher bezeichnete Lokalisation
M891;Stillstand des Epiphysenwachstums
M8910;Stillstand des Epiphysenwachstums: Mehrere Lokalisationen
M8911;Stillstand des Epiphysenwachstums: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8912;Stillstand des Epiphysenwachstums: Oberarm [Humerus, Ellenbogengelenk]
M8913;Stillstand des Epiphysenwachstums: Unterarm [Radius, Ulna, Handgelenk]
M8914;Stillstand des Epiphysenwachstums: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8915;Stillstand des Epiphysenwachstums: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8916;Stillstand des Epiphysenwachstums: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8917;Stillstand des Epiphysenwachstums: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8918;Stillstand des Epiphysenwachstums: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8919;Stillstand des Epiphysenwachstums: Nicht naeher bezeichnete Lokalisation
M892;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums
M8920;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Mehrere Lokalisationen
M8921;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8922;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Oberarm [Humerus, Ellenbogengelenk]
M8923;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Unterarm [Radius, Ulna, Handgelenk]
M8924;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8925;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8926;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8927;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8928;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8929;Sonstige Stoerungen der Knochenentwicklung und des Knochenwachstums: Nicht naeher bezeichnete Lokalisation
M893;Hypertrophie des Knochens
M8930;Hypertrophie des Knochens: Mehrere Lokalisationen
M8931;Hypertrophie des Knochens: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8932;Hypertrophie des Knochens: Oberarm [Humerus, Ellenbogengelenk]
M8933;Hypertrophie des Knochens: Unterarm [Radius, Ulna, Handgelenk]
M8934;Hypertrophie des Knochens: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8935;Hypertrophie des Knochens: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8936;Hypertrophie des Knochens: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8937;Hypertrophie des Knochens: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8938;Hypertrophie des Knochens: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8939;Hypertrophie des Knochens: Nicht naeher bezeichnete Lokalisation
M894;Sonstige hypertrophische Osteoarthropathie
M8940;Sonstige hypertrophische Osteoarthropathie: Mehrere Lokalisationen
M8941;Sonstige hypertrophische Osteoarthropathie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8942;Sonstige hypertrophische Osteoarthropathie: Oberarm [Humerus, Ellenbogengelenk]
M8943;Sonstige hypertrophische Osteoarthropathie: Unterarm [Radius, Ulna, Handgelenk]
M8944;Sonstige hypertrophische Osteoarthropathie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8945;Sonstige hypertrophische Osteoarthropathie: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8946;Sonstige hypertrophische Osteoarthropathie: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8947;Sonstige hypertrophische Osteoarthropathie: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8948;Sonstige hypertrophische Osteoarthropathie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8949;Sonstige hypertrophische Osteoarthropathie: Nicht naeher bezeichnete Lokalisation
M895;Osteolyse
M8950;Osteolyse: Mehrere Lokalisationen
M8951;Osteolyse: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8952;Osteolyse: Oberarm [Humerus, Ellenbogengelenk]
M8953;Osteolyse: Unterarm [Radius, Ulna, Handgelenk]
M8954;Osteolyse: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8955;Osteolyse: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8956;Osteolyse: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8957;Osteolyse: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8958;Osteolyse: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8959;Osteolyse: Nicht naeher bezeichnete Lokalisation
M896;Osteopathie nach Poliomyelitis
M8960;Osteopathie nach Poliomyelitis: Mehrere Lokalisationen
M8961;Osteopathie nach Poliomyelitis: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8962;Osteopathie nach Poliomyelitis: Oberarm [Humerus, Ellenbogengelenk]
M8963;Osteopathie nach Poliomyelitis: Unterarm [Radius, Ulna, Handgelenk]
M8964;Osteopathie nach Poliomyelitis: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8965;Osteopathie nach Poliomyelitis: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8966;Osteopathie nach Poliomyelitis: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8967;Osteopathie nach Poliomyelitis: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8968;Osteopathie nach Poliomyelitis: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8969;Osteopathie nach Poliomyelitis: Nicht naeher bezeichnete Lokalisation
M898;Sonstige naeher bezeichnete Knochenkrankheiten
M8980;Sonstige naeher bezeichnete Knochenkrankheiten: Mehrere Lokalisationen
M8981;Sonstige naeher bezeichnete Knochenkrankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8982;Sonstige naeher bezeichnete Knochenkrankheiten: Oberarm [Humerus, Ellenbogengelenk]
M8983;Sonstige naeher bezeichnete Knochenkrankheiten: Unterarm [Radius, Ulna, Handgelenk]
M8984;Sonstige naeher bezeichnete Knochenkrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8985;Sonstige naeher bezeichnete Knochenkrankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8986;Sonstige naeher bezeichnete Knochenkrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8987;Sonstige naeher bezeichnete Knochenkrankheiten: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8988;Sonstige naeher bezeichnete Knochenkrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8989;Sonstige naeher bezeichnete Knochenkrankheiten: Nicht naeher bezeichnete Lokalisation
M899;Knochenkrankheit, nicht naeher bezeichnet
M8990;Knochenkrankheit, nicht naeher bezeichnet: Mehrere Lokalisationen
M8991;Knochenkrankheit, nicht naeher bezeichnet: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M8992;Knochenkrankheit, nicht naeher bezeichnet: Oberarm [Humerus, Ellenbogengelenk]
M8993;Knochenkrankheit, nicht naeher bezeichnet: Unterarm [Radius, Ulna, Handgelenk]
M8994;Knochenkrankheit, nicht naeher bezeichnet: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M8995;Knochenkrankheit, nicht naeher bezeichnet: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M8996;Knochenkrankheit, nicht naeher bezeichnet: Unterschenkel [Fibula, Tibia, Kniegelenk]
M8997;Knochenkrankheit, nicht naeher bezeichnet: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M8998;Knochenkrankheit, nicht naeher bezeichnet: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M8999;Knochenkrankheit, nicht naeher bezeichnet: Nicht naeher bezeichnete Lokalisation
M90;Osteopathien bei anderenorts klassifizierten Krankheiten
M900;Knochentuberkulose
M9000;Knochentuberkulose: Mehrere Lokalisationen
M9001;Knochentuberkulose: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9002;Knochentuberkulose: Oberarm [Humerus, Ellenbogengelenk]
M9003;Knochentuberkulose: Unterarm [Radius, Ulna, Handgelenk]
M9004;Knochentuberkulose: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9005;Knochentuberkulose: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9006;Knochentuberkulose: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9007;Knochentuberkulose: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9008;Knochentuberkulose: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9009;Knochentuberkulose: Nicht naeher bezeichnete Lokalisation
M901;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten
M9010;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Mehrere Lokalisationen
M9011;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9012;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Oberarm [Humerus, Ellenbogengelenk]
M9013;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Unterarm [Radius, Ulna, Handgelenk]
M9014;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9015;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9016;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9017;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9018;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9019;Periostitis bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Nicht naeher bezeichnete Lokalisation
M902;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten
M9020;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Mehrere Lokalisationen
M9021;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9022;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Oberarm [Humerus, Ellenbogengelenk]
M9023;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Unterarm [Radius, Ulna, Handgelenk]
M9024;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9025;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9026;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9027;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9028;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9029;Osteopathie bei sonstigen anderenorts klassifizierten Infektionskrankheiten: Nicht naeher bezeichnete Lokalisation
M903;Knochennekrose bei Caissonkrankheit
M9030;Knochennekrose bei Caissonkrankheit: Mehrere Lokalisationen
M9031;Knochennekrose bei Caissonkrankheit: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9032;Knochennekrose bei Caissonkrankheit: Oberarm [Humerus, Ellenbogengelenk]
M9033;Knochennekrose bei Caissonkrankheit: Unterarm [Radius, Ulna, Handgelenk]
M9034;Knochennekrose bei Caissonkrankheit: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9035;Knochennekrose bei Caissonkrankheit: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9036;Knochennekrose bei Caissonkrankheit: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9037;Knochennekrose bei Caissonkrankheit: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9038;Knochennekrose bei Caissonkrankheit: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9039;Knochennekrose bei Caissonkrankheit: Nicht naeher bezeichnete Lokalisation
M904;Knochennekrose durch Haemoglobinopathie
M9040;Knochennekrose durch Haemoglobinopathie: Mehrere Lokalisationen
M9041;Knochennekrose durch Haemoglobinopathie: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9042;Knochennekrose durch Haemoglobinopathie: Oberarm [Humerus, Ellenbogengelenk]
M9043;Knochennekrose durch Haemoglobinopathie: Unterarm [Radius, Ulna, Handgelenk]
M9044;Knochennekrose durch Haemoglobinopathie: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9045;Knochennekrose durch Haemoglobinopathie: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9046;Knochennekrose durch Haemoglobinopathie: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9047;Knochennekrose durch Haemoglobinopathie: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9048;Knochennekrose durch Haemoglobinopathie: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9049;Knochennekrose durch Haemoglobinopathie: Nicht naeher bezeichnete Lokalisation
M905;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten
M9050;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen
M9051;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9052;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Oberarm [Humerus, Ellenbogengelenk]
M9053;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Unterarm [Radius, Ulna, Handgelenk]
M9054;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9055;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9056;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9057;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9058;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9059;Knochennekrose bei sonstigen anderenorts klassifizierten Krankheiten: Nicht naeher bezeichnete Lokalisation
M906;Osteodystrophia deformans bei Neubildungen
M9060;Osteodystrophia deformans bei Neubildungen: Mehrere Lokalisationen
M9061;Osteodystrophia deformans bei Neubildungen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9062;Osteodystrophia deformans bei Neubildungen: Oberarm [Humerus, Ellenbogengelenk]
M9063;Osteodystrophia deformans bei Neubildungen: Unterarm [Radius, Ulna, Handgelenk]
M9064;Osteodystrophia deformans bei Neubildungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9065;Osteodystrophia deformans bei Neubildungen: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9066;Osteodystrophia deformans bei Neubildungen: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9067;Osteodystrophia deformans bei Neubildungen: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9068;Osteodystrophia deformans bei Neubildungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9069;Osteodystrophia deformans bei Neubildungen: Nicht naeher bezeichnete Lokalisation
M907;Knochenfraktur bei Neubildungen
M9070;Knochenfraktur bei Neubildungen: Mehrere Lokalisationen
M9071;Knochenfraktur bei Neubildungen: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9072;Knochenfraktur bei Neubildungen: Oberarm [Humerus, Ellenbogengelenk]
M9073;Knochenfraktur bei Neubildungen: Unterarm [Radius, Ulna, Handgelenk]
M9074;Knochenfraktur bei Neubildungen: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9075;Knochenfraktur bei Neubildungen: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9076;Knochenfraktur bei Neubildungen: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9077;Knochenfraktur bei Neubildungen: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9078;Knochenfraktur bei Neubildungen: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9079;Knochenfraktur bei Neubildungen: Nicht naeher bezeichnete Lokalisation
M908;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten
M9080;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Mehrere Lokalisationen
M9081;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9082;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Oberarm [Humerus, Ellenbogengelenk]
M9083;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Unterarm [Radius, Ulna, Handgelenk]
M9084;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9085;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9086;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9087;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9088;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9089;Osteopathie bei sonstigen anderenorts klassifizierten Krankheiten: Nicht naeher bezeichnete Lokalisation
M91;Juvenile Osteochondrose der Huefte und des Beckens
M910;Juvenile Osteochondrose des Beckens
M911;Juvenile Osteochondrose des Femurkopfes [Perthes-Legg-Calv�-Krankheit]
M912;Coxa plana
M913;Pseudokoxalgie
M918;Sonstige juvenile Osteochondrose der Huefte und des Beckens
M919;Juvenile Osteochondrose der Huefte und des Beckens, nicht naeher bezeichnet
M92;Sonstige juvenile Osteochondrosen
M920;Juvenile Osteochondrose des Humerus
M921;Juvenile Osteochondrose des Radius und der Ulna
M922;Juvenile Osteochondrose der Hand
M923;Sonstige juvenile Osteochondrose der oberen Extremitaet
M924;Juvenile Osteochondrose der Patella
M925;Juvenile Osteochondrose der Tibia und der Fibula
M926;Juvenile Osteochondrose des Tarsus
M927;Juvenile Osteochondrose des Metatarsus
M928;Sonstige naeher bezeichnete juvenile Osteochondrose
M929;Juvenile Osteochondrose, nicht naeher bezeichnet
M93;Sonstige Osteochondropathien
M930;Epiphyseolysis capitis femoris (nichttraumatisch)
M931;Kienboeck-Krankheit bei Erwachsenen
M932;Osteochondrosis dissecans
M9320;Osteochondrosis dissecans: Mehrere Lokalisationen
M9321;Osteochondrosis dissecans: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
M9322;Osteochondrosis dissecans: Oberarm [Humerus, Ellenbogengelenk]
M9323;Osteochondrosis dissecans: Unterarm [Radius, Ulna, Handgelenk]
M9324;Osteochondrosis dissecans: Hand [Finger, Handwurzel, Mittelhand, Gelenke zwischen diesen Knochen]
M9325;Osteochondrosis dissecans: Beckenregion und Oberschenkel [Becken, Femur, Gesae�, Huefte, Hueftgelenk, Iliosakralgelenk]
M9326;Osteochondrosis dissecans: Unterschenkel [Fibula, Tibia, Kniegelenk]
M9327;Osteochondrosis dissecans: Knoechel und Fu� [Fu�wurzel, Mittelfu�, Zehen, Sprunggelenk, sonstige Gelenke des Fu�es]
M9328;Osteochondrosis dissecans: Sonstige [Hals, Kopf, Rippen, Rumpf, Schaedel, Wirbelsaeule]
M9329;Osteochondrosis dissecans: Nicht naeher bezeichnete Lokalisation
M938;Sonstige naeher bezeichnete Osteochondropathien
M9380;Sonstige naeher bezeichnete Osteochondropathien: Mehrere Lokalisationen
M9381;Sonstige naeher bezeichnete Osteochondropathien: Schulterregion [Klavikula, Skapula, Akromioklavikular-, Schulter-, Sternoklavikulargelenk]
